rank,Tweet
0.0006674155780791655, I hope you never go a day without something to make you smile You deserve all good things Please follow me   _emoj_heart_    _emoj_heart_   _emoj_heart_   _emoj_heart_   _emoj_heart_ 
0.0006542756730962037,Be happy Be who you want to be If others don't like it then let them be Happiness is a choice Life isn't about pleasing everybody
0.0006525538270622401,As much as I want a normal little life It wouldn't suit me I'd get restless I need to just do what I want at all times to be happy   _emoj_blush_ 
0.0006522216984275285,I am so happy I have come across  notebooks handmade would love to talk to you musthave want need happy amazing   _emoj_open_book_  u0001f58b
0.0006495995214728337,If you love something let it go If it comes back it is yours If it doesn't it never will sadness accepting
0.0006490438906203935, Good morning love Happy first day of fall Let's make some awesome autumnmemories annabailey laughter smile
0.000648033938401093, hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it
0.0006475300027453514,A smile doesn't always mean a person is happy  Sometimes it simply means they are strong enough to face their own problems 
0.0006466375524883265,I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark they'll find me
0.0006466312015846317,If my luck the rest of Fall goes anything like today I think I'm going to like this season bestdayever magic work 
0.0006464384352898435,Be happy not because everything is good but because you can see the good side of everything 
0.0006464384352898433,Be happy not because everything is good but because you can see the good side of everything 
0.0006464384118407649,Followback Quote_Soup Be happy not because everything is good but because you can see the good side of everything 
0.0006464384118407647,Quote_Soup Be happy not because everything is good but because you can see the good side of everything 
0.0006457303138816231, Maybe that's why we're asked to study hard and get a job that we like That way it wouldn't be that dreadful
0.0006449111982060649,Be happy not because everything is good but because you can see the good side of everything optimism
0.0006449111982060647,Be happy not because everything is good but because you can see the good side of everything  optimism
0.0006449111834659219,Quote_Soup Be happy not because everything is good but because you can see the good side of everything optimism
0.0006449111834659219,Followback Quote_Soup Be happy not because everything is good but because you can see the good side of everything optimism
0.0006446312927312287,If my luck the rest of Fall goes anything like today I think I'm going to like this season bestdayever magic work snap
0.0006443812578587388, Good morning love Happy first day of fall Let's make some awesome autumnmemories annabailey  
0.0006443040236662037,At the end of the day I know that my kids will never worry about me leaving them   _emoj_heart__emoj_heart_ 
0.0006440019372429038, I still respect you I suppose there is so little to be gleeful about these days so take what you can Good for you
0.0006439928173150204,Hey u never know Channel 4's version of GBBO might actually be quite good A few adverts aren't the end of the world optimism
0.0006436103329575597, I beg you never stop smiling You deserve to be happy and to know all the beautiful things that life can offers
0.000643288579022775,If you truly want more of God in your life it requires letting go of some of the old things to allow new things to flourish stop start
0.0006428499326260237, no okay you don't not need to be going out of your way to make sure you are pleasing everyone do what makes you happy
0.0006427855575579886,If you think you're good to go already don't worry about it
0.0006425561576072883,If you have the ability to make someone happy or to make someone smile do it The world needs more of that right about now CreateLove   _emoj_white_smiling_face_  
0.0006423541019924762,My mind always seems to work its best at night 
0.0006422521962682343, Good morningLet's start with a smile Let's enjoy life in a cheerful way Don't worry be happy
0.0006422521962682337,Good morningLet's start with a smile Let's enjoy life in a cheerful way Don't worry be happy
0.0006420124952989342,This took a melancholy turn but my point is that for all the difficulties I'm still happy Happy that I get to be who I am
0.0006418788140268943,Always be cheerful smile often make others happy care for others help who feel helpless and vulnerable Life feels good leadership
0.0006418158014432213,It breaks my heart seeing people down or upset I will try my best to make them smile or cheer them up   _emoj_hugging_face_
0.000640946975331181,Ix92ve learnt that a smile and good morning goes a long way and saying thankyou goes even further  quote retweet inspire
0.000640880341743031,Focus on yourself Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt
0.0006404463733942012,If you truly want more of God in your life it requires letting go of some of the old things to allow new things to flourish stop 
0.0006399717182635562,The best revenge is to move on get over it and continue to succeed Never give someone the satisfaction of watching you suffer
0.0006399717182635562,The best revenge is to move on get over it and continue to succeed Never give someone the satisfaction of watching you suffer
0.000639580000610824,tbh amy i don't know why you need to sort your life out it's looks like your having a great time' thanks tiff   _emoj_joy_   _emoj_heart_ 
0.000638968523644585,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda   _emoj_joy_   _emoj_joy_   _emoj_joy_ 
0.0006386166005377203,My morning started off amazing Hopefully the whole day is going as i want it to go GreatDay optimism
0.000638228476361068,Happy internationaldayofpeace everyone hoping that the world becomes a better place less division more happiness keep smiling   _emoj_smile_   _emoj_smile_   _emoj_heart_  
0.000638177923377867,i animated a little thing i might post it tomorrow since itll be a Good Thursday nice
0.0006380423559084856,Sometimes I get to sit back and be proud of myself for pleasing Him so well
0.0006378317183149, I was like that when I started college It was horrific but it probably will get better Don't give up yet
0.0006373298881268347,I'm so playful lol I need somebody that'll joke with me all day long cause ill never get tired of it
0.0006368181775081224,Anyone know how the Mariners did today The mood here seems strangely jubilant As Meatloaf says out of ain't bad unless you win one
0.0006367444072915537,Make someone happy _
0.0006366292981005634,I'll find Myself smiling and even laughing at jokes that I don't even think are particularly funny and I know it's because YOU love them
0.0006357288271572191,Some People hate nothing more than a happy confident person Never mind happy confident
0.0006353065281046268,Live simply Dream big Be grateful Give love Laugh lots  Unknown quote inspiration happy
0.0006351642472481224,Hey u never know Channel 4's version of GBBO might actually be quite good A few adverts aren't the end of the world 
0.0006345603342169288, looking back on recent tweets seen this one right here is great perfect  Speechless deal
0.000634408483230034,My morning started off amazing Hopefully the whole day is going as i want it to go  GreatDay 
0.0006343598679636023,Some People hate nothing more than a happy confident person Never mind  confident
0.0006341987515476382,felt a bit shit getting a very high blood sugar then i remembered it's my first one above this week which is incredible for me happy
0.0006336018316338835,But I got to see her last when she was lively and talkative and I was able to tell her I loved her so that's what matters
0.0006332742496159594,I need to stop second guess myself and just go with the first thought and go with it relentless
0.0006331516661133015,People always tell me that they don't expect me to have anxiety because I'm generally cheerful and don't act the way they expect me to
